"","x"
"1","Apogon sp22"
"2","Pyrola sp"
"3","Erichsonella filiformis"
"4","Amphiodia planispina"
"5","Chronocerastes otakauensis"
"6","Eupolymnia sp"
"7","Dictyota acutiloba"
"8","input8_GENUS input8_SPECIES"
"9","Clava leptostyla"
"10","Patellogastropoda "
"11","Ampelisca coeca"
"12","Callopora rylandi"
"13","Saxicola torquatus"
"14","Trachodes hispidus"
"15","Aluterus monoceros"
"16","Histeridae "
"17","Rhus micophylla"
"18","Embassichthys bathybius"
"19","Gaidius brevispinus"
"20","Pleurobranchaea japonica"
"21","Piper reticulatum"
"22","Syrrhoites sp3"
"23","Cantherhines dumerilii"
"24","Lycenchelys verrillii"
"25","Calliurichthys sp2"
"26","Scina oedicarpus"
"27","Molytinae sp4"
"28","Trichillia casaretti"
"29","Maera othonis"
"30","Corbicula fluminea"
"31","Sloanea meianthera"
"32","Ircinia sp33"
"33","Hologymnosus annulatus"
"34","Vavaea amicorum"
"35","Thalictrum alpinum"
"36","Halymenia durvillei"
"37","Hydrolagus trolli"
"38","Euaugaptilus diminutus"
"39","Bembras japonica"
"40","Anthophila fabriciana"
"41","Polychaeta indet"
"42","Dictyota sp"
"43","Warbling Vireo"
"44","Plantago major"
"45","Posoqueria coriacea"
"46","Thalassarche melanoph"
"47","Bregmacerotidae "
"48","Ruvettus pretiosus"
"49","POPUTRE2 "
"50","Amathia alternata"
"51","Bhesa paniculata"
"52","Nepeta cataria"
"53","Sepiidae "
"54","Orbinia riseri"
"55","Neodoris chrysoderma"
"56","Gypsonoma dealbana"
"57","Calybites phasianipennella"
"58","Zonotrichia albicollis"
"59","Thamnaconus striatus"
"60","Sabellaria gracilis"
"61","South polar-skua"
"62","Tanytarsus "
"63","Notomastus sp"
"64","Loxodonta africana"
"65","Tetraedron minimum"
"66","Josephella marenzelleri"
"67","Anisoptera laevis"
"68","Syracosphaera sp1"
"69","Haloptilus longicornis"
"70","Mouriri glazioviana"
"71","Anthenea sp1"
"72","Cladotanytarsus "
"73","Polyalthia sumatrana"
"74","Bacillaria paradoxa"
"75","Agrotera nemoralis"
"76","Calamorhynchus "
"77","Daimio tethys"
"78","Hylobius abietis"
"79","Lucicutia flavicornis"
"80","Dissodactylus encopei"
"81","Metridia okhotensis"
"82","Linophrynidae "
"83","Caulerpa cactoides"
"84","Entodesma pictum"
"85","Chlorophthalmus atlanticus"
"86","Bryotropha senectella"
"87","Edmondia sesamoides"
"88","Timo formosa"
"89","Planorbella sp"
"90","Equus burchelli"
"91","Argyresthia fundella"
"92","Biflustra limosa"
"93","Macrophthalmus microfylacas"
"94","Stichopus sp4"
"95","Trochosphaera solstitialis"
"96","Perophora japonica"
"97","Capitella sp"
"98","Chroococcaceae "
"99","Cupania tenuivalvis"
"100","Oceanapia sp17"
"101","Pilumnus sp282"
"102","Pterostichus brittoni"
"103","Exostesia didomatia"
"104","Echinodictyum asperum"
"105","Cleome serrulata"
"106","Calyptolana hancocki"
"107","Cypraea chinensis"
"108","Stenogramme interrupta"
"109","Neorites kevedianus"
"110","Autolytus "
"111","Syllides sp"
"112","Tetraselmis sp"
"113","Pimelodendron griffithianum"
"114","Aphanocapsa "
"115","Apogonidae "
"116","Stictyosiphon soriferus"
"117","Oradarea longimana"
"118","Calyptrosphaera "
"119","Monas sp"
"120","Numenius madagascariensis"
"121","Croton texensis"
"122","Helianthus pauciflorus"
"123","Henricia kapalae"
"124","Batea sp"
"125","Pereionotus testudo"
"126","Capitellides jonesi"
"127","Echinogorgia sp14"
"128","Aspalathus abietina"
"129","Anaptychia fusca"
"130","Zanthoxylum ovalifolium"
"131","Ypsolopha sylvella"
"132","Assiminea succinea"
"133","Euaugaptilus hecticus"
"134","Cossura pygodactylata"
"135","Haliophasma geminata"
"136","Corycaeus lautus"
"137","Hyperlophus vittatus"
"138","Lepidotrigla guentheri"
"139","Euphorbia exstipulata"
"140","Lithophane baileyi"
"141","Actinostemon concepcionis"
"142","Harbansus bowenae"
"143","Decamastus spA"
"144","Carpacoce spermacocea"
"145","Coscinarea exesa"
"146","Delphineis spec"
"147","Astragalus convallarius"
"148","Abludomelita obtusata"
"149","Pinnotheres shoemakeri"
"150","Pseudomma "
"151","Spiophanes berkeleyorum"
"152","Calidris bairdii"
"153","Decamastus gracilis"
"154","Eupithecia miserulata"
"155","Galathowenia oculata"
"156","Camptocercus rectirostris"
"157","Restio sarocladus"
"158","Dysidea sp16"
"159","PICEGLA "
"160","Periphyllina ransoni"
"161","Morphospecies cactus"
"162","Pterocarpus marsupium"
"163","picophytoplankton "
"164","Monodonta turbinata"
"165","Cocconeis scutellum"
"166","Trigonolampa miriceps"
"167","Amphiblestrum flemingii"
"168","Etmopterus lucifer"
"169","Anadara secticostata"
"170","Anaitides arenae"
"171","Pomacentridae "
"172","Calathus melanocephalus"
"173","Austrolepidopa sp73"
"174","Leucothoe spa"
"175","Vesicomya "
"176","Reticulocythereis "
"177","Hippodiplosia insculpta"
"178","Phippsiella minima"
"179","Inegocia ochiaii"
"180","Leucolepas "
"181","Chromis weberi"
"182","Lethrinus xanthochilus"
"183","Parelasmopus "
"184","Harpacticoid copepod"
"185","Pantolabus radiatus"
"186","Jania corniculata"
"187","Ctenochaetus cyanocheilus"
"188","Pseudophilyra woodmasoni"
"189","Pomacentrus moluccensis"
"190","Gambelia wislizenii"
"191","Saurida longimanus"
"192","Boccardiella ligerica"
"193","Tethygeneia pacifica"
"194","Oithona nishida"
"195","Arabella mutans"
"196","Aspidophoroides olriki"
"197","Enochrus bicolor"
"198","Psoloessa texana"
"199","Diacarnus sp1"
"200","Jenkinsia stolifera"
"201","Chisocheton ceramicus"
"202","Iliacantha intermedia"
"203","Caenocara sp"
"204","Pleurosigma normanii"
"205","Zeiraphera griseana"
"206","Sargocentron bullsi"
"207","Dimocarpus longan"
"208","Pterodroma rostrata"
"209","Anguilla dieffenbachii"
"210","Byblis "
"211","Alcyonium carneum"
"212","Terebella pterochaeta"
"213","Paralichthinae "
"214","Valamugil cunnesius"
"215","Stolephorus sp41"
"216","Chlorurus sordidus"
"217","Rimula "
"218","Ochthebius minimus"
"219","Astronesthes micropogon"
"220","Bathyacmaea secunda"
"221","Inga fagifolia"
"222","Solenopsindborgi"
"223","Loxoglypta compta"
"224","Calycopsis borchgrevinki"
"225","Melanocetidae "
"226","Oculosetella gracilis"
"227","Strombus dilatatus"
"228","Farranula gibbula"
"229","Muraltia rosmarinifolia"
"230","Nerodia sp"
"231","Nephtys cornuta"
"232","Nereis vexillosa"
"233","Cavolina tricuspidata"
"234","Asclepias sullivantii"
"235","Umbellulifera sp5"
"236","Carijoa sp3"
"237","Rhynchozoon paa"
"238","Parasquilla coccinea"
"239","Pavo cristatus"
"240","Eurypanopeus "
"241","CANW "
"242","Schrankia costaestrigalis"
"243","Ceratia proxima"
"244","Lobophyllia hataii"
"245","Schismus barbatus"
"246","Sphinx ligustri"
"247","Montipora angulata"
"248","Phoronis ovalis"
"249","Priapulida "
"250","Stylodactylus licinus"
"251","Black-Browed albatross"
"252","YWAR "
"253","Hypoglossum sp3"
"254","Sporochnus "
"255","Cuspivolva tigris"
"256","Amphicteis sp"
"257","Spionidae genus3"
"258","Halimeda sp3"
"259","Nectandra speciosa"
"260","Phalaropus fulicarius"
"261","Scaphocalanus elongatus"
"262","Stephanopyxis turris"
"263","Nesiarchus nasutus"
"264","Baccaurea pyriformis"
"265","Caryocolum fischerella"
"266","Echeneidae "
"267","Laternula anatina"
"268","Phlebiella vaga"
"269","Modulus disculus"
"270","Allomycterus jaculiferus"
"271","Mactra murchisoni"
"272","Urophycis tenuis"
"273","Strombus sp9"
"274","Callyspongia sp82"
"275","Eurydice convexa"
"276","Strombus aurisdianae"
"277","Poromitra sp"
"278","Aplidium turbinatum"
"279","Hiantopora intermedia"
"280","Abra lioica"
"281","Hemiaulus indicus"
"282","Heteractis "
"283","Physalis "
"284","Sinocorophium heteroceratum"
"285","Caecum imbricatum"
"286","Trechus vicarius"
"287","Scina pusilla"
"288","Mergus merganser"
"289","Pectinaster mimicus"
"290","Terebellides ehlersi"
"291","Ilybius subaeneus"
"292","Acanthohasutorius millsi"
"293","Aurospio spA"
"294","Lissodendoryx "
"295","Paralithodes brevipes"
"296","Careproctus ranula"
"297","Cycloporus venetus"
"298","Myadora "
"299","Branchiostoma lanceolatum"
"300","Platycerus acuticollis"
"301","Anthus hodgsoni"
"302","Diplodus sp"
"303","Anaspis regimbarti"
"304","Turban snails"
"305","Homostolus acer"
"306","Wyeomyia sp1"
"307","Chorizopora sp"
"308","Neoloricata spa"
"309","Undinella sp"
"310","Elaeocarpus elliffii"
"311","Aeschynomene pratensis"
"312","Zyras sp"
"313","Halymenia latifolia"
"314","Ananthura "
"315","Campylaspis umbensis"
"316","Epinotia tedella"
"317","Cypselurus naresii"
"318","Luidia sagamina"
"319","Ophiomyxa tumida"
"320","Sapphirina darwinii"
"321","Maprounea guianensis"
"322","Archamia bleekeri"
"323","Nuculana hamata"
"324","Filellum serpens"
"325","Dendrochirotida "
"326","Troides sp"
"327","Petrochelidon pyrrhonota"
"328","Acanthephyra eximea"
"329","Dissodinium pseudolunula"
"330","Pasiphaea liocerca"
"331","Diacyclops thomasi"
"332","Glycera oxycephala"
"333","Gold encrusting bryozoan"
"334","Ziba sp1"
"335","Porites massive"
"336","Autographa pulchrina"
"337","Triplax aenea"
"338","Nephthyigorgia sp4"
"339","Epinotia immundana"
"340","Eastern phoebe"
"341","Notothenia kempi"
"342","Beroe cucumis"
"343","Parupeneus trifasciatus"
"344","Celleporaria haurakiensis"
"345","Pteraster "
"346","Witica thalis"
"347","Locustella lanceolata"
"348","Botrylloides nigrum"
"349","Leiognathus leuciscus?"
"350","Metalasia cephalotes"
"351","Sicyonia bispinosa"
"352","Hippomonavella flexuosa"
"353","Cydia fagiglandana"
"354","Thalassiothrix longissima"
"355","Aristida purpurascens"
"356","Coronosphaera spec"
"357","Fucus distichus"
"358","Procerodes "
"359","Asteropterygion oculitristis"
"360","Lumbrineris crassicephala"
