names
Apogon sp22
Aluterus monoceros
Embassichthys bathybius
Cantherhines dumerilii
Lycenchelys verrillii
Calliurichthys sp2
Hologymnosus annulatus
Bembras japonica
Bregmacerotidae
Ruvettus pretiosus
Thamnaconus striatus
Linophrynidae
Chlorophthalmus atlanticus
Apogonidae
Hyperlophus vittatus
Lepidotrigla guentheri
Trigonolampa miriceps
Pomacentridae
Inegocia ochiaii
Chromis weberi
Lethrinus xanthochilus
Pantolabus radiatus
Ctenochaetus cyanocheilus
Pomacentrus moluccensis
Saurida longimanus
Aspidophoroides olriki
Jenkinsia stolifera
Sargocentron bullsi
Anguilla dieffenbachii
Valamugil cunnesius
Stolephorus sp41
Chlorurus sordidus
Astronesthes micropogon
Melanocetidae
Nesiarchus nasutus
Echeneidae
Allomycterus jaculiferus
Urophycis tenuis
Poromitra sp
Careproctus ranula
Diplodus sp
Homostolus acer
Cypselurus naresii
Archamia bleekeri
Notothenia kempi
Parupeneus trifasciatus
Leiognathus leuciscus?
Halophryne queenslandiae
Paracirrhites hemistictus
Girella elevata
Regalecus
Scorpaenopsis oxycephala
Galaxias anomalus
Sardinella sp
Acanthurus bariene
Triacanthodes anomalus
Apogon quadrisquamatus
Priacantus arenatus
Roa australis
Lampanyctus sp
Labridae
Tasmanogobius gloveri
Anampses lineatus
Pseudomonacanthus sp41
Sardinella gibbosa
Scarus niger
Epinephelus areolatus
Trematomus nicolai
Haemulon sp
Lagocephalus inermis
Centropyge tibicen
Paraliparis leobergi
Pomadasys corvinaeformis
Taratichthys longipinnis
Sebastes variabilis
Bathylagus euryopsa
Apogon crassiceps
Spectrunculus grandis
Lestidiops indopacifica
Lycodes seminudus
Malacoctenus triangulatus
Acestrorhynchus lacustris
Pomacentrus nigromanus
Caelorinchus supernasutus
Epinephelus nigritus
Capromimus abbreviatus
Cetonurus
Fundulus seminolis
Hippocampus guttulatus
Lycodes luetkenii
Chlorophthalmus chalybeius
Paraliparis bathybius
Paraplagusia longirostris
Arnoglossus imperialis
Scopelogadus sp
Pagetopsis maculatus
Galaxias sp1
Chromis margaritifera
Bathysolea polli
Haemulon sciurus
Epinephelus fasciatus
Diaphus hudsoni
Stephanolepis setifer
Acanthurus guttatus
Meuschenia hippocrepis
Saurida sp2
Acentronura dendritica
Gambusia holbrooki
Centropomidae
Bascanichthys scuticaris
Gonostoma atlanticum
Fusigobius neophytus
Plicofollis nella
Cymbacephalus nematophthalmus
Cypselurus hexazona
Trisopterus minutus
Chaetodon lunula
Stomiidae
Heteroscarus acroptilus
Blenniidae sp6
Diodon holocanthus
Lycodes raridens
Rogadius welanderi
Linophryne
Oblada melanura
Optivus agastos
Polyipnus
Sillago burrus
Decapterus
Bathophilus longipinnis
Pagrus coeruleostictus
Cephalopholis urodeta
Merluccius
Lepomis macrochirus
Lampadena anomala
